
No	私判断	私分類	AI判断	AI分類	一致	メモ
1			残す	形状異常・シワなど		形状良好、目立つ欠点なし
2			残す	小さい豆		やや小さいが許容範囲
3			残す	小さい豆		小さめで丸みあり、要確認なら再確認
4			残す	形状異常・シワなど		浅いシワありだが重大な欠点なし
5			残す	形状異常・シワなど		表面ややしわ、焙煎に影響少なそう
6			残す	小さい豆		小さいが異常色や穴はない
7			判断迷い	小さい豆		かなり小さめのため再確認推奨
8			残す	割れ・欠け		弱い欠けがあるが大きくない
9			判断迷い	小さい豆		小粒で形もやや不揃い、再確認推奨
10			判断迷い	小さい豆		極小なので用途により除去検討
11			残す	形状異常・シワなど		やや平たいが問題小
12			残す	形状異常・シワなど		浅いひび・しわのみ
13			除去	割れ・欠け		側面の欠けが明瞭
14			残す	形状異常・シワなど		小さな表面のしわのみ
15			除去	形状異常・シワなど		著しい変形で均一焙煎困難
16			残す	小さい豆		小さいが穴や変色はない
17			判断迷い	割れ・欠け		浅い割れがあるため再確認推奨
18			残す	小さい豆		小粒だが問題なし
19			除去	虫食い・カビ疑い		小さな穴が見える（虫食い疑い）
20			残す	割れ・欠け		軽微な欠けのみ
21			残す	小さい豆		やや小粒、目立つ欠点なし
22			残す	形状異常・シワなど		表面にややしわあり
23			残す	小さい豆		小さいが形は良好
24			除去	黒っぽい変色		中心に黒ずみが強い
25			残す	形状異常・シワなど		しわがあるが穴やカビなし
26			残す	形状異常・シワなど		しわ・凹みが目立つが軽度
27			判断迷い	割れ・欠け		小さな欠けあり、再確認推奨
28			残す	小さい豆		非常に小さいが欠点無し
29			残す	小さい豆		小粒、色は均一
30			残す	小さい豆		小さいが良好
31			残す	形状異常・シワなど		浅いしわのみ
32			残す	形状異常・シワなど		しわ・凹みが目立つが重大でない
33			残す	小さい豆		やや小さめ
34			除去	黄色・白っぽい		表面に黄変/白っぽい斑点あり
35			残す	形状異常・シワなど		しわ・表面荒れがある
36			残す	小さい豆		小粒で問題なし
37			残す	形状異常・シワなど		複雑な皺だが穴や変色は無い
38			判断迷い	割れ・欠け		欠けがやや深い、再確認推奨
39			残す	小さい豆		小粒、色は均一
40			除去	黒っぽい変色		濃い変色があり除去推奨
41			残す	形状異常・シワなど		浅いしわのみ
42			残す	小さい豆		小さめだが穴・変色なし
