
No	私判断	私分類	AI判断	AI分類	AIメモ	判断一致	再確認結果
01			残す		外観良好、目立つ欠点なし		
02			残す		色・形とも正常範囲		
03			残す		形状良好、目立つ欠点なし		
04			残す		軽微なクラックのみ、許容範囲		
05			残す		目視で欠点確認できず		
06			残す		サイズ・色問題なし		
07			残す		目立った変色や穴なし		
08			残す		外観良好		
09			残す		小さなヒビあるが使用可		
10			残す		正常な形状		
11			残す		色味・形状問題なし		
12			残す		目視で大きな欠点なし		
13			残す		外観良好		
14			残す		形状良好		
15			除去	黒っぽい変色	中心部に濃い褐色斑があり変色が目立つため除去推奨		
16			残す		小さめだが問題無しに見える		
17			残す		割れは浅く許容範囲		
18			残す		表面良好		
19			残す		目立つ欠点なし		
20			残す		形状良好		
21			残す		色味正常		
22			残す		外観に異常なし		
23			残す		軽微なへこみのみ		
24			除去	虫食い・カビ疑い	中心にえぐれ・濃色部があり虫食いやカビの疑いがあるため除去推奨		
25			残す		一部シワあるが許容範囲		
26			残す		色・形ともに良好		
27			残す		目視で大きな欠点なし		
28			残す		外観良好		
29			残す		形状良好		
30			残す		やや小さいが目立った欠点なし		
31			判断迷い	小さい豆	他と比べて小さめ、抽出影響を考慮し再確認推奨		
32			除去	割れ・欠け	側面の欠け・割れが明瞭でダメージ大きいため除去推奨		
33			残す		外観問題なし		
34			残す		色・形ともに良好		
35			残す		目立つ欠点なし		
36			判断迷い	形状異常・シワなど	歪な形状としわが目立つため再確認推奨		
37			残す		外観良好		
38			判断迷い	割れ・欠け	小さな欠けが見えるため再確認推奨		
39			残す		目視で大きな欠点なし		
40			除去	黒っぽい変色	表面の濃色化・ダメージが目立つため除去推奨		
41			残す		形状良好、変色なし		
42			残す		外観良好、問題なし
