
No	私判断	私分類	AI判断	AI分類	AIメモ	判断一致	再確認結果
01			残す		形状良好、目立つ欠点なし		
02			除去	割れ・欠け	側面が欠け・破損している		
03			残す		形状良好、目立つ欠点なし		
04			残す		形状良好、目立つ欠点なし		
05			残す		形状良好、目立つ欠点なし		
06			判断迷い	小さい豆	やや小さめ、周囲と比較推奨		
07			除去	割れ・欠け	先端が欠けている/崩れあり		
08			残す		形状良好、目立つ欠点なし		
09			残す		形状良好、目立つ欠点なし		
10			判断迷い	黒っぽい変色	溝周辺に茶色い変色あり、要確認		
11			判断迷い	黒っぽい変色	中央付近に濃い色味の変色あり		
12			除去	黄色・白っぽい	中央部が黄白色を帯びており欠点寄与の可能性		
13			判断迷い	小さい豆	やや小さめ、周囲と比較推奨		
14			残す		形状良好、目立つ欠点なし		
15			残す		形状良好、目立つ欠点なし		
16			判断迷い	小さい豆	やや小型、確認推奨		
17			残す		形状良好、目立つ欠点なし		
18			残す		形状良好、目立つ欠点なし		
19			残す		形状良好、目立つ欠点なし		
20			残す		形状良好、目立つ欠点なし		
21			残す		形状良好、目立つ欠点なし		
22			残す		形状良好、目立つ欠点なし		
23			残す		形状良好、目立つ欠点なし		
24			残す		形状良好、目立つ欠点なし		
25			残す		形状良好、目立つ欠点なし		
26			判断迷い	黒っぽい変色	表面に茶褐色の変色あり、要確認		
27			判断迷い	小さい豆	やや小さい、確認推奨		
28			残す		形状良好、目立つ欠点なし		
29			残す		形状良好、目立つ欠点なし		
30			残す		形状良好、目立つ欠点なし		
31			除去	虫食い・カビ疑い	小さな穴／虫食い痕のように見えるため除去推奨		
32			判断迷い	小さい豆	やや小型、再確認推奨		
33			判断迷い	小さい豆	やや小型、再確認推奨		
34			残す		形状良好、目立つ欠点なし		
35			残す		形状良好、目立つ欠点なし		
36			除去	虫食い・カビ疑い	穴のような痕あり（虫食いの疑い）		
37			判断迷い	小さい豆	小さめ、周囲と比較推奨		
38			除去	割れ・欠け	側面に欠け・破損が明瞭		
39			残す		形状良好、目立つ欠点なし		
40			残す		形状良好、目立つ欠点なし		
41			残す		形状良好、目立つ欠点なし		
42			残す		形状良好、目立つ欠点なし
